Flyby ID, Experiment ID, PDS Volume ID, Date, DOY, Year
T011, tigr3, cors_0133, 27.02., 58, 2006
T022, tigr6, cors_0168, 28.12., 362, 2006
T033, tigr8, cors_0176, 29.06., 180, 2007
T045, tigr11, cors_0239, 30.07., 212, 2008
T068, tigr15, cors_0320, 19.05., 139, 2010
T074, tigr16, cors_0349 cors_0350, 18.02., 49,2011
T089, tigr17, cors_0394 cors_0395, 16.02., 47,2013
T099, tigr18, cors_0487 cors_0488, 06.03., 65,2014
T110, tigr19, cors_0525, 16.03., 75, 2015
T122, tigr20, cors_0566 cors_0567, 09.08., 222, 2016
